streak_id,student_id,streak_active,streak_frozen,streak_created
833756,410432,1,0,"12/1/2022 10:58"
833757,6950,1,0,"12/1/2022 10:58"
833758,426798,1,0,"12/1/2022 11:01"
833759,455217,1,0,"12/1/2022 11:03"
833760,325393,1,0,"12/1/2022 11:03"
833761,346949,1,0,"12/1/2022 11:05"
833762,454578,1,0,"12/1/2022 11:09"
833763,347555,1,0,"12/1/2022 11:11"
833764,454292,1,0,"12/1/2022 11:12"
833765,441691,1,0,"12/1/2022 11:12"
833766,453915,1,0,"12/1/2022 11:13"
833767,442306,1,0,"12/1/2022 11:15"
833768,223510,1,0,"12/1/2022 11:16"
833769,255282,1,0,"12/1/2022 11:18"
833770,415451,1,0,"12/1/2022 11:18"
833771,313452,1,0,"12/1/2022 11:21"
833772,348448,1,0,"12/1/2022 11:21"
833773,145813,1,0,"12/1/2022 11:22"
833774,455018,1,0,"12/1/2022 11:24"
833775,288719,1,0,"12/1/2022 11:26"
833776,283029,1,0,"12/1/2022 11:27"
833777,292564,1,0,"12/1/2022 11:27"
833778,275165,1,0,"12/1/2022 11:27"
833779,264146,1,0,"12/1/2022 11:29"
833780,262634,1,0,"12/1/2022 11:30"
833781,277410,1,0,"12/1/2022 11:30"
833782,291878,1,0,"12/1/2022 11:31"
833783,425522,1,0,"12/1/2022 11:31"
833784,434466,1,0,"12/1/2022 11:32"
833785,321776,1,0,"12/1/2022 11:32"
833786,414670,1,0,"12/1/2022 11:33"
833787,409880,1,0,"12/1/2022 11:38"
833788,453463,1,0,"12/1/2022 11:38"
833789,19,1,0,"12/1/2022 11:39"
833790,314245,1,0,"12/1/2022 11:39"
833791,185764,1,0,"12/1/2022 11:40"
833792,285352,1,0,"12/1/2022 11:43"
833793,239680,1,0,"12/1/2022 11:43"
833794,325958,1,0,"12/1/2022 11:43"
833795,438067,1,0,"12/1/2022 11:45"
833796,286073,1,0,"12/1/2022 11:47"
833797,268689,1,0,"12/1/2022 11:49"
833798,285397,1,0,"12/1/2022 11:51"
833799,277679,1,0,"12/1/2022 11:53"
833800,441781,1,0,"12/1/2022 11:53"
833801,275093,1,0,"12/1/2022 11:54"
833802,313990,1,0,"12/1/2022 11:56"
833803,455224,1,0,"12/1/2022 11:58"
833804,1374,1,0,"12/1/2022 11:59"
833805,291015,1,0,"12/1/2022 11:59"
833806,377367,1,0,"12/1/2022 12:00"
833807,440719,1,0,"12/1/2022 12:01"
833808,280249,1,0,"12/1/2022 12:02"
833809,453370,1,0,"12/1/2022 12:04"
833810,344453,1,0,"12/1/2022 12:06"
833811,277353,1,0,"12/1/2022 12:07"
833812,361962,1,0,"12/1/2022 12:09"
833813,288210,1,0,"12/1/2022 12:09"
833814,185851,1,0,"12/1/2022 12:10"
833815,216760,1,0,"12/1/2022 12:11"
833816,417926,1,0,"12/1/2022 12:11"
833817,454941,1,0,"12/1/2022 12:11"
833818,451498,1,0,"12/1/2022 12:12"
833819,291769,1,0,"12/1/2022 12:12"
833820,453388,1,0,"12/1/2022 12:14"
833821,450876,1,0,"12/1/2022 12:15"
833822,228262,1,0,"12/1/2022 12:16"
833823,165801,1,0,"12/1/2022 12:16"
833824,277812,1,0,"12/1/2022 12:17"
833825,454657,1,0,"12/1/2022 12:17"
833826,279562,1,0,"12/1/2022 12:18"
833827,296101,1,0,"12/1/2022 12:20"
833828,326761,1,0,"12/1/2022 12:21"
833829,269452,1,0,"12/1/2022 12:21"
833830,260754,1,0,"12/1/2022 12:22"
833831,454348,1,0,"12/1/2022 12:22"
833832,9845,1,0,"12/1/2022 12:23"
833833,423925,1,0,"12/1/2022 12:24"
833834,393372,1,0,"12/1/2022 12:27"
833835,359324,1,0,"12/1/2022 12:27"
833836,208408,1,0,"12/1/2022 12:27"
833837,391161,1,0,"12/1/2022 12:29"
833838,319252,1,0,"12/1/2022 12:29"
